"FAZENDA";"PROJETO";"ESPACAMENTO";"TALHAO";"MATGEN";"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca"
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;0,1;13,05070533;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;0,5;12,5732405;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;1;12,41408556;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;1,5;12,25493062;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;2;11,77746579;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;4;11,30000096;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;6;10,50422624;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;8;9,549296586;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;10;8,594366927;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;12;8,116902098;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;14;7,321127382;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;16;6,843662553;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;18;5,092958179;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;20;4,13802852;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";1;12,41408556;22,1;22;2,864788976;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;0,1;15,27887454;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;0,5;14,96056465;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;1;13,84648005;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;1,5;12,73239545;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;2;12,41408556;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;4;11,93662073;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;6;11,30000096;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;8;10,66338119;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;10;9,708451529;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;12;8,75352187;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;14;7,002817496;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;16;5,888732894;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;18;4,61549335;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;20;2,546479089;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";2;13,05070533;22,3;22;0,954929659;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";3;13,20986028;20;0,1;15,27887454;9
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";3;13,20986028;20;0,5;14,16478994;8
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";3;13,20986028;20;1;13,84648005;6
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";3;13,20986028;20;1,5;13,20986028;5
